batch_id,event_id,event_class,station,audited_positive_channels,usable_channels,questionable_channels,rejected_channels,request_integrity_status
1,levent-01410,natural_impact,S14,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
1,levent-01416,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01416,deep_moonquake_assigned,S14,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
1,levent-01417,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01417,natural_impact,S14,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
1,levent-01428,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01428,natural_impact,S14,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
1,levent-01455,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01455,natural_impact,S14,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
1,levent-01471,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01471,natural_impact,S14,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
1,levent-01476,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01476,natural_impact,S14,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
1,levent-01488,natural_impact,S14,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01516,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01516,deep_moonquake_assigned,S14,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
1,levent-01559,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01559,natural_impact,S14,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
1,levent-01560,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01560,natural_impact,S14,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
1,levent-01586,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01586,deep_moonquake_assigned,S14,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
1,levent-01592,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01592,natural_impact,S14,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
1,levent-01599,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01599,natural_impact,S14,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
1,levent-01600,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
